UserName,AccY,AccX,AccZ,Activity
Rikhil,7.06,1.69,1.7297841,Downstairs
Rikhil,6.05,-2.64,1.4573771999999998,Downstairs
Rikhil,8.35,0.89,0.3405087,Downstairs
Rikhil,5.28,5.41,0.88532263,Downstairs
Rikhil,8.89,4.99,1.9885708,Downstairs
Rikhil,12.64,-1.04,1.7978859,Downstairs
Rikhil,8.92,1.73,1.9204689999999998,Downstairs
Rikhil,9.58,1.99,1.1168685,Downstairs
Rikhil,10.46,0.34,1.9477096999999999,Downstairs
Rikhil,9.08,0.84,0.313268,Downstairs
Rikhil,7.89,4.63,2.3426998,Downstairs
Rikhil,12.87,4.71,1.4573771999999998,Downstairs
Rikhil,13.4,2.72,-1.4573771999999998,Downstairs
Rikhil,13.48,2.87,3.990762,Downstairs
Rikhil,7.5,1.65,-4.944186,Downstairs
Rikhil,6.78,2.83,-1.7978859,Downstairs
Rikhil,11.37,3.34,-0.6537767,Downstairs
Rikhil,7.46,6.02,3.1463002999999996,Downstairs
Rikhil,7.74,2.79,0.61291564,Downstairs
Rikhil,9.47,0.42,-1.1168685,Downstairs
Rikhil,8.73,4.37,0.040861044,Downstairs
Rikhil,7.44,5.24,0.88532263,Downstairs
Rikhil,9.38,3.15,0.23154591,Downstairs
Rikhil,9.19,8.66,2.2609777,Downstairs
Rikhil,12.91,6.51,4.290409599999999,Downstairs
Rikhil,14.79,2.72,0.6946376999999999,Downstairs
Rikhil,12.45,0.46,-3.1054392,Downstairs
Rikhil,4.75,3.53,-0.95342433,Downstairs
Rikhil,4.25,0.53,0.9942854,Downstairs
Rikhil,1.65,2.11,-1.2666923,Downstairs
Rikhil,8.69,4.37,-0.08172209,Downstairs
Rikhil,10.31,6.82,4.9850473,Downstairs
Rikhil,6.4,2.96,2.9556155,Downstairs
Rikhil,17.05,3.72,3.2961242,Downstairs
Rikhil,8.2,5.67,-2.5333846,Downstairs
Rikhil,15.13,15.89,3.2961242,Downstairs
Rikhil,8.58,1.08,-0.61291564,Downstairs
Rikhil,9.34,0.95,-2.3018389,Downstairs
Rikhil,7.93,2.87,0.27240697,Downstairs
Rikhil,6.55,6.4,3.7864565999999997,Downstairs
Rikhil,7.97,6.85,-0.61291564,Downstairs
Rikhil,5.83,7.78,1.334794,Downstairs
Rikhil,9.72,9.28,3.336985,Downstairs
