UserName,AccY,AccX,AccZ,Activity
Rikhil,8.43,0.46,6.238119,Upstairs
Rikhil,8.43,0.46,6.238119,Upstairs
Rikhil,8.43,0.46,6.238119,Upstairs
Rikhil,9.77,0.19,-0.3405087,Upstairs
Rikhil,9.77,0.19,-0.3405087,Upstairs
Rikhil,10.19,1.27,3.9090397000000006,Upstairs
Rikhil,14.82,4.29,1.7570249,Upstairs
Rikhil,9.66,1.88,-0.3405087,Upstairs
Rikhil,10.12,-1.18,2.3018389,Upstairs
Rikhil,13.38,-8.81,3.5276701,Upstairs
Rikhil,3.68,-4.25,-3.7864565999999997,Upstairs
Rikhil,9.38,-7.74,-3.9499009,Upstairs
Rikhil,13.02,-2.11,-1.4573771999999998,Upstairs
Rikhil,8.58,-6.17,2.5606253,Upstairs
Rikhil,9.81,-7.16,1.1441092,Upstairs
Rikhil,12.49,-3.91,-1.9477096999999999,Upstairs
Rikhil,8.43,-1.14,-2.6014863999999998,Upstairs
Rikhil,5.94,-5.01,3.336985,Upstairs
Rikhil,7.89,-8.24,0.6946376999999999,Upstairs
Rikhil,8.39,-7.59,-3.0237172,Upstairs
Rikhil,2.26,0.42,-1.56634,Upstairs
Rikhil,4.63,-0.08,-0.50395286,Upstairs
Rikhil,11.07,-1.69,0.08172209,Upstairs
Rikhil,19.53,-13.25,-1.0351465,Upstairs
Rikhil,12.53,-12.45,9.234595,Upstairs
Rikhil,11.11,-9.96,-1.4573771999999998,Upstairs
Rikhil,8.24,-3.06,1.1168685,Upstairs
Rikhil,8.66,-2.18,1.1849703,Upstairs
Rikhil,6.55,-2.03,-0.84446156,Upstairs
Rikhil,6.13,0.15,0.9942854,Upstairs
Rikhil,6.82,2.26,0.9942854,Upstairs
Rikhil,4.44,1.14,1.0351465,Upstairs
Rikhil,8.24,1.04,4.7535014,Upstairs
Rikhil,11.3,-3.17,8.281172,Upstairs
Rikhil,12.95,-3.95,-4.5628166,Upstairs
Rikhil,8.35,-3.87,2.9556155,Upstairs
Rikhil,13.8,-6.05,-1.7978859,Upstairs
Rikhil,7.78,-2.11,-0.42223078,Upstairs
Rikhil,8.39,-3.87,-1.9885708,Upstairs
Rikhil,9.19,-2.72,-1.2666923,Upstairs
Rikhil,10.19,-1.18,-0.7218784,Upstairs
Rikhil,9.89,-5.2,-0.61291564,Upstairs
Rikhil,10.31,-4.1,-2.070293,Upstairs
Rikhil,13.82,-3.72,0.38136974,Upstairs
Rikhil,15.17,-6.93,7.504811999999999,Upstairs
Rikhil,9.58,-1.23,0.6946376999999999,Upstairs
Rikhil,11.37,-0.57,-0.23154591,Upstairs
Rikhil,11.11,-9.04,4.372132,Upstairs
Rikhil,4.79,-6.47,-2.2609777,Upstairs
Rikhil,7.74,-0.46,-0.14982383,Upstairs
Rikhil,9.19,-2.03,1.8796080000000002,Upstairs
Rikhil,7.7,-3.83,-2.070293,Upstairs
Rikhil,6.44,-1.84,-1.3075534,Upstairs
Rikhil,8.77,-0.61,4.862464,Upstairs
Rikhil,9.7,-6.59,-7.3141264999999995,Upstairs
Rikhil,15.24,-3.34,4.7943625,Upstairs
Rikhil,9.08,-1.38,0.08172209,Upstairs
Rikhil,9.53,-5.9,-2.4516625,Upstairs
Rikhil,7.78,-2.75,-1.1441092,Upstairs
Rikhil,6.55,-1.99,0.27240697,Upstairs
Rikhil,7.35,-2.14,-1.1441092,Upstairs
Rikhil,7.46,-4.44,-0.53119355,Upstairs
Rikhil,9.34,-4.44,-0.95342433,Upstairs
Rikhil,13.91,-5.6,-1.9885708,Upstairs
Rikhil,14.44,-9.04,0.313268,Upstairs
Rikhil,13.44,-8.81,5.938472,Upstairs
Rikhil,10.69,2.07,-0.38136974,Upstairs
Rikhil,13.57,-1.38,0.42223078,Upstairs
Rikhil,7.44,-11.41,5.284695,Upstairs
Rikhil,4.63,-4.33,-7.8180795,Upstairs
Rikhil,10.76,0.31,4.903325,Upstairs
Rikhil,7.59,-2.34,-0.5720546,Upstairs
Rikhil,5.52,-3.87,-1.7297841,Upstairs
Rikhil,6.47,-0.61,-0.040861044,Upstairs
Rikhil,5.75,-3.15,6.170017700000001,Upstairs
Rikhil,13.87,-5.24,-6.170017700000001,Upstairs
Rikhil,13.67,-0.23,3.7183550000000003,Upstairs
Rikhil,9.81,0.95,0.46309182,Upstairs
Rikhil,8.69,-3.76,-1.8796080000000002,Upstairs
Rikhil,6.47,-3.53,-1.2258313,Upstairs
Rikhil,8.12,-5.01,0.23154591,Upstairs
Rikhil,10.73,-4.56,-0.27240697,Upstairs
Rikhil,9.66,-4.82,-1.2258313,Upstairs
Rikhil,11.75,-7.08,-1.1849703,Upstairs
Rikhil,16.47,-5.86,4.671779,Upstairs
Rikhil,11.75,-1.73,5.325556,Upstairs
Rikhil,11.11,-0.95,0.42223078,Upstairs
Rikhil,12.03,-4.48,-1.1849703,Upstairs
Rikhil,6.78,-9.72,2.9556155,Upstairs
Rikhil,5.52,-4.06,-2.3699405,Upstairs
Rikhil,8.73,-0.19,3.5276701,Upstairs
Rikhil,8.73,-0.19,3.5276701,Upstairs
Rikhil,4.86,-0.84,-0.6537767,Upstairs
Rikhil,8.81,-3.26,2.5333846,Upstairs
Rikhil,8.81,-3.26,2.5333846,Upstairs
Rikhil,18.28,-6.66,-0.95342433,Upstairs
Rikhil,7.08,-1.88,1.56634,Upstairs
Rikhil,10.42,-4.52,-2.6014863999999998,Upstairs
Rikhil,11.11,-1.31,0.10896278,Upstairs
Rikhil,5.37,-3.26,-0.27240697,Upstairs
Rikhil,6.4,-2.68,-0.8036005,Upstairs
Rikhil,8.66,-3.17,-1.4573771999999998,Upstairs
Rikhil,8.28,-4.71,-0.29964766,Upstairs
Rikhil,10.46,-6.51,-1.8387468999999996,Upstairs
Rikhil,13.8,-6.66,1.3756552,Upstairs
Rikhil,15.85,-6.66,5.366417,Upstairs
Rikhil,11.54,-3.26,5.938472,Upstairs
Rikhil,11.8,-1.99,1.0760075,Upstairs
Rikhil,11.6,-6.85,-1.4165162,Upstairs
Rikhil,4.71,-8.5,0.19068487,Upstairs
Rikhil,7.27,-1.53,-0.29964766,Upstairs
Rikhil,10.23,0.69,2.6014863999999998,Upstairs
Rikhil,8.08,-3.15,-0.7218784,Upstairs
Rikhil,4.9,-1.88,-1.1168685,Upstairs
Rikhil,5.33,-1.76,-1.334794,Upstairs
Rikhil,7.46,-3.83,0.92618364,Upstairs
Rikhil,17.86,-4.52,-0.7218784,Upstairs
Rikhil,12.57,0.04,3.7592160000000003,Upstairs
Rikhil,7.74,-3.41,-1.4573771999999998,Upstairs
Rikhil,8.96,-5.98,-1.607201,Upstairs
Rikhil,6.74,-2.91,0.6537767,Upstairs
Rikhil,6.28,-2.07,0.6537767,Upstairs
Rikhil,7.78,-3.26,0.08172209,Upstairs
Rikhil,7.67,-4.33,-0.10896278,Upstairs
Rikhil,13.4,-5.37,-3.4868089999999996,Upstairs
Rikhil,15.17,-4.82,-2.0294318,Upstairs
Rikhil,15.36,-9.62,5.012288,Upstairs
Rikhil,9.92,-3.53,5.625203599999999,Upstairs
Rikhil,13.1,-0.5,2.9147543999999996,Upstairs
Rikhil,10.04,-6.74,-2.9147543999999996,Upstairs
Rikhil,3.49,-7.7,-0.08172209,Upstairs
Rikhil,6.59,-2.34,-3.7864565999999997,Upstairs
Rikhil,10.53,-1.92,4.099725,Upstairs
Rikhil,9.43,-3.91,-0.08172209,Upstairs
Rikhil,5.98,-3.21,-0.7627395,Upstairs
Rikhil,5.22,-2.83,0.84446156,Upstairs
Rikhil,8.69,-3.45,-1.2666923,Upstairs
Rikhil,16.82,-5.6,3.0237172,Upstairs
Rikhil,12.41,0.23,0.61291564,Upstairs
Rikhil,5.94,-0.84,-0.6537767,Upstairs
Rikhil,8.77,-4.67,-1.525479,Upstairs
Rikhil,6.63,-3.91,-0.6946376999999999,Upstairs
Rikhil,7.89,-5.2,-0.14982383,Upstairs
Rikhil,6.82,-3.36,-0.23154591,Upstairs
Rikhil,14.86,-7.12,-3.3642258999999997,Upstairs
Rikhil,16.47,-1.73,-1.4982381999999999,Upstairs
